Business,Address,City,State,phurl,Types,Hours,Phone,
Hoagie Haven,242 Nassau St.,Princeton ,NJ,http://media-cdn.pinterest.com/upload/17592254763894955_HZEaOu1m.jpg,"Sandwiches, Late-night, Lunch","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,hoagiehaven.com
George's,244 Nassau St.,Princeton,NJ,http://cache.virtualtourist.com/4/3435869-Georges_Roasters_Ribs_Princeton_Princeton.jpg,"Sandwiches, Late-night, Lunch","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Tortuga's,41 Leigh Avenue,Princeton,NJ,https://lh3.googleusercontent.com/-lxEEWlJXFM8/TjqXU5Gw5KI/AAAAAAAACUk/lx6O3aOlAY8/s1218/photo1.JPG,"Mexican, Lunch, Dinner","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Fruity Yogurt,166 Nassau St.,Princeton,NJ,http://profile.ak.fbcdn.net/hprofile-ak-snc4/50354_167406039848_1790224_n.jpg,"Ice Cream, Dessert, Yogurt","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Qdoba,140 Nassau St.,Princeton,NJ,http://989design.com/wordpress/wp-content/uploads/2012/02/Qdoba_color_logo.jpg,"Mexican, Lunch, Dinner, Fast-food","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
The Bent Spoon,35 Palmer Square W,Princeton,NJ,http://www.thebentspoon.net/BENTSPOON/home_files/shapeimage_1.png,"Ice Cream, Dessert","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Naked Pizza,180 Nassau St.,Princeton,NJ,http://www.delish.com/cm/delish/images/Naked%20Pizza.jpg,"Pizza, Lunch, Dinner","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Panera Bread,136 Nassau St.,Princeton,NJ,http://www.panerabread.com/imagesNEW/logo.png,"Sandwiches, Coffee, Pastries, Lunch, Dinner","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Starbucks,100 Nassau St.,Princeton,NJ,http://www.starbucks.com/static/images/global/logo.png,"Coffee, Pastries","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Olives,22 Witherspoon St.,Princeton,NJ,http://s3.amazonaws.com/smcwidget/display_ads/23980/display/Olives_Gourmet_Deli___Bakery.png?1326465767,"Lunch, Dinner, Sandwiches","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Small World Coffee,14 Witherspoon St.,Princeton,NJ,http://a0.twimg.com/profile_images/989737464/SWC-Logo-450x450_bigger.png,"Coffee, Pastries","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Thomas Sweet,179 Nassau St.,Princeton,NJ,http://profile.ak.fbcdn.net/hprofile-ak-snc4/71038_129117311124_6029779_n.jpg,"Ice Cream, Dessert","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Mehek,164 Nassaus St.,Princeton,NJ,http://www.varlifoodfestival.com/images/logos/logo150150/mehek.jpg,"Indian, Lunch, Dinner","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Thai Village,235 Nassau St.,Princeton,NJ,http://o1.aolcdn.com/dims-shared/dims3/PATCH/resize/273x203/http://hss-prod.hss.aol.com/hss/storage/patch/4b1a4a5d35b3890e178c970717a28601,"Thai, Lunch, Dinner","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Tomo Sushi,236 Nassau St.,Princeton,NJ,http://www.andychendesign.com/blog/tomo.jpg,"Sushi, Japanese, Lunch, Dinner","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Subway,18 Witherspoon St.,Princeton,NJ,http://wac.450f.edgecastcdn.net/80450F/kbear.com/files/2011/03/subway_logo.jpg,"Sandwiches, Fast-food","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Pjs Pancake House,154 Nassau St.,Princeton,NJ,http://s3-media2.ak.yelpcdn.com/bphoto/fW3ZYVMuaS7obxf-f-W73g/l.jpg,"Breakfast, Lunch, Dinner, Pancakes","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
Osteria Procaccini,4428 Rt 27 N,Kingston,NJ,http://s3-media3.ak.yelpcdn.com/bphoto/pFtYMskw9PpdSrKIcA7qxw/l.jpg,"Pizza, Lunch, Dinner","M-F 9am-9pm, Sat-Sun 10am-10pm",555 555 5555,allsortz.com
