Type,Icon
Chinese,chinese.png
Thai,rice.png
Korean,rice.png
Japanese ,sushi.png
Indian,dining.png
Mexican,pepper.png
Mediterranean,dining.png
Caribbean,dining.png
Italian,dining.png
American,burger.png
Greek,dining.png
Fast Food,fast.png
Diner,dining.png
Cocktail Lounge,cocktail.png
Brewery,beer.png
Bar,beer.png
Wine Bar,wine.png
Coffee,coffee.png
Breakfast,breakfast.png
Lunch,outdoors.png
Dinner,dining.png
Bakery,bakery.png
Pastries,bakery.png
Sweets,candy.png
Dessert,pie.png
Ice Cream,icecream.png
Pizza,pizza.png
Sandwiches,hoagie.png
Raw Food,steak.png
Vegan,vegetables.png
Seafood,fish.png
Brunch,breakfast.png
Sushi,sushi.png
Late Night,latenight.png
